"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2026","66,760.0","66,879.0","67,264.0","66,252.0","0.66K","-0.19%"
"04/02/2026","66,886.0","68,051.0","68,603.0","65,732.0","1.07K","-1.75%"
"04/01/2026","68,074.0","68,249.0","69,241.0","67,564.0","0.97K","-0.27%"
"03/31/2026","68,257.0","66,770.0","68,562.0","65,960.0","1.74K","2.27%"
"03/30/2026","66,740.0","66,015.0","68,100.0","65,800.0","2.14K","1.12%"
"03/29/2026","66,001.0","66,371.0","67,082.0","65,050.0","1.34K","-0.56%"
"03/28/2026","66,374.0","66,395.0","67,271.0","65,922.0","1.01K","-0.03%"
"03/27/2026","66,395.0","68,822.0","69,149.0","65,567.0","2.26K","-3.53%"
"03/26/2026","68,822.0","71,312.0","71,398.0","68,152.0","1.69K","-3.49%"
"03/25/2026","71,312.0","70,564.0","71,457.0","70,415.0","0.51K","1.07%"
"03/24/2026","70,557.0","70,911.0","71,370.0","68,952.0","1.50K","-0.50%"
"03/23/2026","70,912.0","67,881.0","71,765.0","67,470.0","2.45K","4.44%"
"03/22/2026","67,900.0","68,919.0","69,599.0","67,368.0","1.53K","-1.44%"
"03/21/2026","68,892.0","70,537.0","71,046.0","68,637.0","0.68K","-2.34%"
"03/20/2026","70,545.0","69,956.0","71,365.0","69,436.0","1.38K","0.88%"
"03/19/2026","69,932.0","71,240.0","71,581.0","68,823.0","1.48K","-1.84%"
"03/18/2026","71,240.0","73,850.0","74,650.0","70,489.0","1.31K","-3.58%"
"03/17/2026","73,884.0","74,871.0","75,977.0","73,442.0","1.51K","-1.29%"
"03/16/2026","74,850.0","72,801.0","74,899.0","72,268.0","2.40K","2.80%"
"03/15/2026","72,813.0","71,207.0","73,193.0","70,861.0","1.13K","2.30%"
"03/14/2026","71,178.0","70,917.0","71,281.0","70,358.0","0.75K","0.36%"
"03/13/2026","70,920.0","70,472.0","73,895.0","70,422.0","2.39K","0.59%"
"03/12/2026","70,505.0","70,224.0","70,821.0","69,231.0","1.41K","0.40%"
"03/11/2026","70,224.0","69,975.0","71,340.0","69,000.0","1.39K","0.39%"
"03/10/2026","69,953.0","68,461.0","71,777.0","68,428.0","2.21K","2.17%"
"03/09/2026","68,469.0","65,952.0","69,477.0","65,860.0","2.30K","3.77%"
"03/08/2026","65,981.0","67,234.0","68,191.0","65,622.0","1.66K","-1.87%"
"03/07/2026","67,235.0","68,149.0","68,519.0","67,002.0","1.00K","-1.29%"
"03/06/2026","68,111.0","70,864.0","71,364.0","67,755.0","2.54K","-3.92%"
"03/05/2026","70,887.0","72,680.0","73,566.0","70,644.0","4.32K","-2.59%"
"03/04/2026","72,770.0","68,362.0","74,022.0","67,450.0","5.53K","6.57%"
"03/03/2026","68,283.0","68,830.0","69,249.0","66,290.0","3.88K","-0.78%"
"03/02/2026","68,822.0","65,810.0","70,042.0","65,339.0","5.92K","4.61%"
"03/01/2026","65,792.0","67,060.0","68,252.0","65,099.0","3.87K","-1.87%"
"02/28/2026","67,047.0","65,945.0","67,734.0","63,144.0","5.53K","1.69%"
"02/27/2026","65,930.0","67,552.0","68,280.0","65,078.0","3.90K","-2.38%"
"02/26/2026","67,540.0","68,056.0","68,929.0","66,593.0","4.45K","-0.77%"
"02/25/2026","68,067.0","64,102.0","69,975.0","63,990.0","6.51K","6.19%"
"02/24/2026","64,102.0","64,750.0","65,087.0","62,727.0","4.82K","-0.99%"
"02/23/2026","64,744.0","67,707.0","67,740.0","63,970.0","5.53K","-4.37%"
"02/22/2026","67,700.0","68,050.0","68,270.0","67,290.0","1.27K","-0.52%"
"02/21/2026","68,051.0","68,090.0","68,729.0","67,613.0","1.12K","-0.06%"
"02/20/2026","68,091.0","67,067.0","68,383.0","66,604.0","3.02K","1.53%"
"02/19/2026","67,067.0","66,562.0","67,390.0","65,740.0","2.52K","0.74%"
"02/18/2026","66,572.0","67,565.0","68,561.0","65,958.0","2.62K","-1.48%"
"02/17/2026","67,573.0","68,961.0","69,260.0","66,752.0","1.62K","-2.04%"
"02/16/2026","68,978.0","68,876.0","70,167.0","67,384.0","1.77K","0.14%"
"02/15/2026","68,879.0","69,807.0","71,007.0","68,131.0","1.56K","-1.35%"
"02/14/2026","69,825.0","68,938.0","70,547.0","68,747.0","1.35K","1.30%"
"02/13/2026","68,928.0","66,347.0","69,488.0","65,966.0","1.76K","3.88%"
"02/12/2026","66,355.0","67,156.0","68,456.0","65,215.0","2.09K","-1.16%"
"02/11/2026","67,132.0","68,873.0","69,352.0","65,840.0","2.17K","-2.53%"
"02/10/2026","68,873.0","70,166.0","70,541.0","67,975.0","1.89K","-1.84%"
"02/09/2026","70,166.0","70,381.0","71,494.0","68,400.0","2.63K","-0.31%"
"02/08/2026","70,381.0","69,389.0","72,255.0","68,966.0","1.50K","1.43%"
"02/07/2026","69,389.0","70,639.0","71,668.0","67,465.0","1.96K","-1.76%"
"02/06/2026","70,634.0","62,995.0","71,800.0","60,246.0","3.54K","12.22%"
"02/05/2026","62,940.0","73,280.0","73,426.0","62,590.0","4.25K","-14.11%"
"02/04/2026","73,280.0","75,892.0","77,054.0","72,149.0","3.00K","-3.44%"
"02/03/2026","75,892.0","78,848.0","79,276.0","73,104.0","2.49K","-3.75%"
"02/02/2026","78,848.0","77,030.0","79,397.0","75,090.0","4.28K","2.38%"
"02/01/2026","77,013.0","78,816.0","79,453.0","75,875.0","2.47K","-2.29%"
"01/31/2026","78,816.0","84,232.0","84,241.0","76,099.0","1.95K","-6.43%"
"01/30/2026","84,230.0","84,719.0","84,750.0","81,179.0","2.29K","-0.58%"
"01/29/2026","84,719.0","89,296.0","89,320.0","83,307.0","2.38K","-5.11%"
"01/28/2026","89,285.0","89,242.0","90,560.0","88,836.0","0.95K","0.04%"
"01/27/2026","89,253.0","88,451.0","89,561.0","87,383.0","1.14K","0.86%"
"01/26/2026","88,495.0","86,628.0","88,895.0","86,509.0","1.63K","2.16%"
"01/25/2026","86,628.0","89,182.0","89,291.0","86,074.0","1.78K","-2.88%"
"01/24/2026","89,200.0","89,615.0","89,960.0","89,155.0","0.85K","-0.48%"
"01/23/2026","89,629.0","89,578.0","91,205.0","88,607.0","1.73K","0.06%"
"01/22/2026","89,578.0","89,496.0","90,395.0","88,566.0","1.16K","0.10%"
"01/21/2026","89,490.0","88,431.0","90,518.0","87,316.0","1.83K","1.20%"
"01/20/2026","88,431.0","92,596.0","92,857.0","87,921.0","1.56K","-4.51%"
"01/19/2026","92,607.0","93,677.0","93,677.0","92,000.0","1.22K","-1.14%"
"01/18/2026","93,677.0","95,089.0","95,515.0","93,601.0","0.66K","-1.51%"
"01/17/2026","95,114.0","95,491.0","95,610.0","94,978.0","0.44K","-0.41%"
"01/16/2026","95,510.0","95,509.0","95,758.0","94,228.0","1.22K","0.00%"
"01/15/2026","95,509.0","96,804.0","97,113.0","95,057.0","1.77K","-1.34%"
"01/14/2026","96,804.0","95,245.0","97,787.0","94,505.0","2.57K","1.60%"
"01/13/2026","95,281.0","91,239.0","95,953.0","90,988.0","2.03K","4.43%"
"01/12/2026","91,239.0","90,915.0","92,478.0","90,092.0","1.12K","0.34%"
"01/11/2026","90,927.0","90,525.0","91,221.0","90,225.0","0.25K","0.45%"
"01/10/2026","90,519.0","90,630.0","90,833.0","90,386.0","0.11K","-0.12%"
"01/09/2026","90,630.0","91,089.0","91,976.0","89,693.0","0.84K","-0.50%"
"01/08/2026","91,086.0","91,349.0","91,541.0","89,340.0","0.78K","-0.29%"
"01/07/2026","91,349.0","93,612.0","93,612.0","90,651.0","1.05K","-2.42%"
"01/06/2026","93,612.0","93,744.0","94,280.0","91,233.0","1.84K","-0.14%"
"01/05/2026","93,744.0","91,483.0","94,615.0","91,423.0","1.46K","2.49%"
"01/04/2026","91,468.0","90,595.0","91,712.0","90,593.0","0.96K","0.95%"
"01/03/2026","90,604.0","90,029.0","90,688.0","89,330.0","0.47K","0.68%"
"01/02/2026","89,993.0","88,876.0","90,942.0","88,442.0","1.05K","1.26%"
"01/01/2026","88,876.0","87,720.0","88,944.0","87,593.0","0.30K","1.33%"
"12/31/2025","87,711.0","88,556.0","89,207.0","87,330.0","0.72K","-0.95%"
"12/30/2025","88,556.0","87,240.0","89,430.0","86,830.0","1.28K","1.51%"
"12/29/2025","87,241.0","87,987.0","90,387.0","86,865.0","1.43K","-0.84%"
"12/28/2025","87,976.0","87,945.0","88,096.0","87,530.0","0.31K","0.04%"
"12/27/2025","87,945.0","87,465.0","88,035.0","87,336.0","0.26K","0.55%"
"12/26/2025","87,465.0","87,285.0","89,556.0","86,704.0","1.39K","0.21%"
"12/25/2025","87,279.0","87,692.0","88,575.0","87,000.0","0.42K","-0.47%"
"12/24/2025","87,692.0","87,493.0","88,060.0","86,495.0","1.00K","0.20%"
"12/23/2025","87,514.0","88,622.0","88,982.0","86,720.0","1.29K","-1.23%"
"12/22/2025","88,607.0","88,715.0","90,485.0","87,982.0","1.46K","-0.12%"
"12/21/2025","88,715.0","88,463.0","89,153.0","87,739.0","0.62K","0.28%"
"12/20/2025","88,463.0","88,241.0","88,690.0","87,981.0","0.45K","0.25%"
"12/19/2025","88,241.0","85,665.0","89,458.0","85,275.0","1.64K","3.00%"
"12/18/2025","85,670.0","86,409.0","89,443.0","84,604.0","2.22K","-0.86%"
"12/17/2025","86,409.0","87,950.0","90,427.0","85,438.0","1.97K","-1.75%"
"12/16/2025","87,950.0","86,535.0","88,262.0","85,407.0","0.45K","1.64%"
"12/15/2025","86,535.0","88,181.0","90,010.0","85,304.0","0.86K","-1.87%"
"12/14/2025","88,181.0","90,321.0","90,530.0","87,679.0","0.32K","-2.38%"
"12/13/2025","90,327.0","90,325.0","90,671.0","89,887.0","0.05K","0.03%"
"12/12/2025","90,302.0","92,514.0","92,750.0","89,591.0","0.32K","-2.39%"
"12/11/2025","92,514.0","92,023.0","93,519.0","89,301.0","0.74K","0.53%"
"12/10/2025","92,023.0","92,760.0","94,458.0","91,632.0","0.60K","-0.79%"
"12/09/2025","92,760.0","90,668.0","94,638.0","89,626.0","0.99K","2.31%"
"12/08/2025","90,668.0","90,500.0","92,267.0","89,701.0","0.51K","0.19%"
"12/07/2025","90,500.0","89,273.0","91,754.0","87,878.0","0.65K","1.37%"
"12/06/2025","89,276.0","89,379.0","90,263.0","89,000.0","0.15K","-0.13%"
"12/05/2025","89,390.0","92,135.0","92,738.0","88,197.0","0.45K","-2.98%"
"12/04/2025","92,135.0","93,457.0","94,100.0","91,000.0","0.51K","-1.41%"
"12/03/2025","93,457.0","91,380.0","94,080.0","91,075.0","0.96K","2.27%"
"12/02/2025","91,381.0","86,473.0","92,331.0","86,333.0","0.99K","5.68%"
"12/01/2025","86,473.0","90,413.0","90,452.0","84,007.0","1.94K","-4.36%"
"11/30/2025","90,413.0","90,934.0","92,000.0","90,413.0","0.16K","-0.57%"
"11/29/2025","90,934.0","91,023.0","91,250.0","90,323.0","0.06K","-0.11%"
"11/28/2025","91,030.0","91,385.0","93,000.0","90,326.0","0.61K","-0.39%"
"11/27/2025","91,385.0","90,585.0","91,990.0","90,188.0","0.37K","0.88%"
"11/26/2025","90,585.0","87,514.0","90,684.0","86,500.0","0.97K","3.50%"
"11/25/2025","87,519.0","88,471.0","88,602.0","86,300.0","0.89K","-1.08%"
"11/24/2025","88,471.0","87,008.0","89,348.0","85,500.0","1.40K","1.66%"
"11/23/2025","87,028.0","84,889.0","88,289.0","84,835.0","1.41K","2.52%"
"11/22/2025","84,890.0","85,355.0","85,766.0","83,680.0","0.49K","-0.54%"
"11/21/2025","85,355.0","86,803.0","87,647.0","80,843.0","2.98K","-1.63%"
"11/20/2025","86,773.0","91,648.0","93,125.0","86,260.0","2.06K","-5.32%"
"11/19/2025","91,648.0","93,186.0","93,193.0","88,888.0","2.96K","-1.67%"
"11/18/2025","93,200.0","92,553.0","93,989.0","89,635.0","3.19K","0.70%"
"11/17/2025","92,553.0","94,601.0","96,157.0","91,762.0","3.38K","-2.16%"
"11/16/2025","94,601.0","95,672.0","96,711.0","93,673.0","2.55K","-1.12%"
"11/15/2025","95,672.0","94,750.0","96,930.0","94,750.0","0.51K","0.97%"
"11/14/2025","94,750.0","99,839.0","99,920.0","94,469.0","4.80K","-5.11%"
"11/13/2025","99,855.0","101,750.0","104,000.0","98,138.0","1.66K","-1.86%"
"11/12/2025","101,750.0","103,190.0","105,340.0","100,880.0","1.19K","-1.40%"
"11/11/2025","103,190.0","106,010.0","107,500.0","102,660.0","0.98K","-2.66%"
